Contig with marker, accession number	Linkage map chromosome (Juneja et al.)	Linkage map position, cM (Juneja et al.)	AaegL2 scaffold	Start position on AaegL2 scaffold	End position on AaegL2 scaffold
AAGE02015290.1	chr3	33.231	CH477534.1	1205611	1234927
AAGE02015300.1	chr2	49.629	CH477535.1	340853	420571
AAGE02015313.1	chr2	49.629	CH477535.1	838434	887693
AAGE02015321.1	chr2	49.629	CH477535.1	1052740	1148382
AAGE02015326.1	chr3	5.829	CH477536.1	70089	188994
AAGE02015327.1	chr3	5.829	CH477536.1	191315	553484
AAGE02015334.1	chr3	5.829	CH477536.1	747515	1057516
AAGE02015340.1	chr2	52.532	CH477537.1	16723	85224
AAGE02015352.1	chr2	52.532	CH477537.1	724709	838473
AAGE02015359.1	chr2	52.532	CH477537.1	1155430	1192778
AAGE02015389.1	chr2	49.629	CH477539.1	479825	658699
AAGE02015451.1	chr2	0	CH477541.1	1135924	1182837
AAGE02015553.1	chr3	60.87	CH477544.1	358358	405580
AAGE02015557.1	chr3	60.87	CH477544.1	632716	770254
AAGE02015558.1	chr3	60.87	CH477544.1	770510	797388
AAGE02015560.1	chr3	60.87	CH477544.1	802010	908646
AAGE02015562.1	chr3	60.87	CH477544.1	1030953	1095815
AAGE02015593.1	chr2	73.499	CH477545.1	1137870	1175607
AAGE02015594.1	chr2	73.499	CH477545.1	1175708	1203066
AAGE02015595.1	chr2	73.499	CH477545.1	1203248	1233783
AAGE02015599.1	chr2	49.629	CH477546.1	82485	168353
AAGE02015600.1	chr2	49.629	CH477546.1	169271	204822
AAGE02015606.1	chr2	49.629	CH477546.1	339635	442175
AAGE02015612.1	chr2	49.629	CH477546.1	715365	915008
AAGE02015618.1	chr2	49.629	CH477546.1	1008956	1106758
AAGE02015622.1	chr2	49.629	CH477546.1	1134855	1175926
AAGE02015665.1	chr2	46.756	CH477548.1	21725	125962
AAGE02015676.1	chr2	46.756	CH477548.1	294908	330975
AAGE02015684.1	chr2	46.756	CH477548.1	495863	562873
AAGE02015699.1	chr2	49.629	CH477549.1	185098	269566
AAGE02015710.1	chr3	14.678	CH477549.1	883950	1162622
AAGE02015714.1	chr3	11.818	CH477550.1	231472	308367
AAGE02015720.1	chr3	11.818	CH477550.1	760416	805709
AAGE02015725.1	chr3	11.818	CH477550.1	1005745	1136632
AAGE02015736.1	chr2	52.532	CH477551.1	663847	819501
AAGE02015741.1	chr2	52.532	CH477551.1	1064620	1160760
AAGE02015744.1	chr1	49.189	CH477552.1	83038	470785
AAGE02015745.1	chr1	49.189	CH477552.1	471042	554559
AAGE02015797.1	chr3	33.231	CH477554.1	121455	638155
AAGE02015800.1	chr3	33.231	CH477554.1	728708	870135
AAGE02015801.1	chr3	33.231	CH477554.1	870409	937644
AAGE02015802.1	chr3	33.231	CH477554.1	937745	962264
AAGE02015823.1	chr1	24.396	CH477555.1	147322	186915
AAGE02015827.1	chr1	24.396	CH477555.1	331980	439030
AAGE02015828.1	chr1	24.396	CH477555.1	440834	504400
AAGE02015830.1	chr1	24.396	CH477555.1	634043	911743
AAGE02015837.1	chr2	73.499	CH477556.1	34900	301784
AAGE02015839.1	chr2	73.499	CH477556.1	307179	441590
AAGE02015841.1	chr2	73.499	CH477556.1	456736	527902
AAGE02015842.1	chr2	73.499	CH477556.1	528003	720925
AAGE02015843.1	chr2	73.499	CH477556.1	721026	779907
AAGE02015844.1	chr2	73.499	CH477556.1	780116	852561
AAGE02015847.1	chr2	73.499	CH477556.1	863564	869975
AAGE02015849.1	chr2	73.499	CH477556.1	935512	1019447
AAGE02015850.1	chr2	73.499	CH477556.1	1019548	1152622
AAGE02015861.1	chr2	55.421	CH477557.1	180395	263236
AAGE02015871.1	chr2	55.421	CH477557.1	503053	573746
AAGE02015873.1	chr2	55.421	CH477557.1	598881	786467
AAGE02015895.1	chr1	18.675	CH477558.1	91849	161739
AAGE02015896.1	chr1	18.675	CH477558.1	161840	446876
AAGE02015902.1	chr1	18.675	CH477558.1	624811	785453
AAGE02015904.1	chr1	18.675	CH477558.1	813480	961316
AAGE02015907.1	chr1	18.675	CH477558.1	979299	1210988
AAGE02015956.1	chr3	33.231	CH477560.1	717285	780707
AAGE02016000.1	chr2	46.756	CH477562.1	739805	843995
AAGE02016065.1	chr2	29.911	CH477565.1	157332	181043
AAGE02016087.1	chr2	52.532	CH477565.1	811778	904090
AAGE02016090.1	chr2	52.532	CH477565.1	929494	951274
AAGE02016091.1	chr2	52.532	CH477565.1	951389	958379
AAGE02016093.1	chr2	52.532	CH477565.1	1017807	1040314
AAGE02016094.1	chr2	52.532	CH477565.1	1040649	1071058
AAGE02016113.1	chr2	46.756	CH477566.1	413939	508708
AAGE02016124.1	chr2	46.756	CH477566.1	658452	799149
AAGE02016140.1	chr2	46.756	CH477566.1	1082584	1106493
AAGE02016178.1	chr2	49.629	CH477568.1	688878	745906
AAGE02016182.1	chr2	49.629	CH477568.1	852941	889304
AAGE02016183.1	chr2	49.629	CH477568.1	889405	919562
AAGE02016241.1	chr2	52.532	CH477570.1	95431	456125
AAGE02016246.1	chr2	52.532	CH477570.1	745246	780373
AAGE02016284.1	chr3	33.231	CH477571.1	870250	955240
AAGE02016344.1	chr1	21.535	CH477573.1	685786	722557
AAGE02016347.1	chr1	21.535	CH477573.1	786375	1050804
AAGE02016392.1	chr2	21.697	CH477576.1	82306	126179
AAGE02016403.1	chr2	24.557	CH477576.1	450570	486353
AAGE02016409.1	chr2	24.557	CH477576.1	555309	573002
AAGE02016413.1	chr2	24.557	CH477576.1	801590	972197
AAGE02016488.1	chr3	66.591	CH477579.1	786381	849322
AAGE02016494.1	chr3	40.78	CH477579.1	1022220	1129264
AAGE02016520.1	chr2	52.532	CH477580.1	807250	868481
AAGE02016536.1	chr3	0	CH477581.1	49134	326228
AAGE02016601.1	chr1	21.535	CH477582.1	1049579	1090786
AAGE02016607.1	chr1	0	CH477583.1	210480	315552
AAGE02016609.1	chr1	0	CH477583.1	342416	400153
AAGE02016610.1	chr1	0	CH477583.1	400254	820265
AAGE02016640.1	chr3	33.231	CH477585.1	150298	190606
AAGE02016643.1	chr3	33.231	CH477585.1	485345	936955
AAGE02016648.1	chr3	60.87	CH477586.1	164257	335140
AAGE02016649.1	chr3	60.87	CH477586.1	335241	461782
AAGE02016650.1	chr3	60.87	CH477586.1	461883	470353
AAGE02016651.1	chr3	60.87	CH477586.1	470454	601777
AAGE02016662.1	chr2	46.756	CH477586.1	893483	960722
AAGE02016676.1	chr1	21.535	CH477587.1	324789	400099
AAGE02016684.1	chr1	21.535	CH477587.1	530605	738485
AAGE02016796.1	chr3	33.231	CH477591.1	679045	872307
AAGE02016948.1	chr2	49.629	CH477597.1	189882	259667
AAGE02016950.1	chr2	49.629	CH477597.1	273957	355526
AAGE02016953.1	chr2	49.629	CH477597.1	411275	481406
AAGE02016957.1	chr2	49.629	CH477597.1	601741	722544
AAGE02016966.1	chr3	8.823	CH477598.1	24119	213491
AAGE02016979.1	chr1	21.535	CH477599.1	32367	252109
AAGE02016998.1	chr1	21.535	CH477599.1	856431	975502
AAGE02017009.1	chr1	4.47	CH477600.1	67910	199052
AAGE02017016.1	chr1	4.47	CH477600.1	344711	378269
AAGE02017056.1	chr3	33.231	CH477601.1	246594	338168
AAGE02017058.1	chr3	33.231	CH477601.1	404120	596116
AAGE02017059.1	chr3	33.231	CH477601.1	596217	645933
AAGE02017096.1	chr3	0	CH477602.1	232892	410301
AAGE02017103.1	chr3	0	CH477602.1	851483	886842
AAGE02017150.1	chr3	33.231	CH477605.1	94044	180404
AAGE02017153.1	chr3	33.231	CH477605.1	224222	289418
AAGE02017157.1	chr3	33.231	CH477605.1	462732	723796
AAGE02017212.1	chr2	43.896	CH477607.1	272328	356927
AAGE02017224.1	chr2	52.532	CH477607.1	877707	989437
AAGE02017267.1	chr3	40.78	CH477609.1	36947	118753
AAGE02017268.1	chr3	40.78	CH477609.1	118854	237771
AAGE02017271.1	chr3	40.78	CH477609.1	287029	398685
AAGE02017313.1	chr2	65.871	CH477611.1	422634	575696
AAGE02017349.1	chr1	8.691	CH477613.1	226268	296190
AAGE02017400.1	chr1	45.369	CH477614.1	837436	937793
AAGE02017412.1	chr3	33.231	CH477615.1	169171	316058
AAGE02017413.1	chr3	33.231	CH477615.1	316249	359310
AAGE02017447.1	chr2	49.629	CH477616.1	414361	435869
AAGE02017449.1	chr2	49.629	CH477616.1	485478	594078
AAGE02017458.1	chr2	49.629	CH477616.1	858894	920067
AAGE02017462.1	chr3	0	CH477617.1	1	321074
AAGE02017463.1	chr3	0	CH477617.1	321364	692274
AAGE02017465.1	chr3	0	CH477617.1	716988	821185
AAGE02017466.1	chr3	0	CH477617.1	821286	879329
AAGE02017468.1	chr3	0	CH477617.1	889038	955915
AAGE02017476.1	chr2	49.629	CH477618.1	251425	338764
AAGE02017480.1	chr2	49.629	CH477618.1	366073	390731
AAGE02017482.1	chr2	49.629	CH477618.1	395171	530799
AAGE02017492.1	chr2	49.629	CH477618.1	691160	835239
AAGE02017494.1	chr2	49.629	CH477618.1	856129	894537
AAGE02017538.1	chr3	33.231	CH477621.1	53196	138741
AAGE02017539.1	chr3	33.231	CH477621.1	139897	377121
AAGE02017541.1	chr3	33.231	CH477621.1	393355	452478
AAGE02017542.1	chr3	33.231	CH477621.1	452631	486966
AAGE02017543.1	chr3	33.231	CH477621.1	487067	561259
AAGE02017545.1	chr3	33.231	CH477621.1	572753	593581
AAGE02017546.1	chr3	33.231	CH477621.1	594393	677392
AAGE02017547.1	chr3	33.231	CH477621.1	677493	795716
AAGE02017548.1	chr3	33.231	CH477621.1	795817	816397
AAGE02017549.1	chr3	33.231	CH477621.1	816498	872321
AAGE02017555.1	chr1	21.535	CH477622.1	384141	455221
AAGE02017574.1	chr1	54.179	CH477623.1	380995	460434
AAGE02017594.1	chr1	54.179	CH477623.1	1055682	1121788
AAGE02017778.1	chr3	40.78	CH477630.1	406424	496063
AAGE02017781.1	chr3	40.78	CH477630.1	606338	689585
AAGE02017783.1	chr3	40.78	CH477630.1	726806	824350
AAGE02017872.1	chr2	73.499	CH477633.1	670080	742814
AAGE02017873.1	chr2	73.499	CH477633.1	742915	828652
AAGE02017890.1	chr1	21.535	CH477634.1	551165	601109
AAGE02017892.1	chr1	21.535	CH477634.1	608292	666182
AAGE02017893.1	chr1	21.535	CH477634.1	666418	752614
AAGE02017895.1	chr1	21.535	CH477634.1	768376	799994
AAGE02017896.1	chr1	21.535	CH477634.1	804650	852674
AAGE02017928.1	chr2	52.532	CH477637.1	17330	80990
AAGE02017978.1	chr2	15.163	CH477638.1	236169	324427
AAGE02017982.1	chr2	15.163	CH477638.1	442464	470179
AAGE02017986.1	chr2	15.163	CH477638.1	540064	565697
AAGE02018022.1	chr2	49.629	CH477640.1	342368	523963
AAGE02018038.1	chr2	52.532	CH477641.1	13291	23828
AAGE02018041.1	chr2	52.532	CH477641.1	40859	77761
AAGE02018042.1	chr2	52.532	CH477641.1	77862	118783
AAGE02018045.1	chr2	52.532	CH477641.1	159431	262538
AAGE02018046.1	chr2	52.532	CH477641.1	262639	345279
AAGE02018048.1	chr2	52.532	CH477641.1	377753	554038
AAGE02018051.1	chr2	52.532	CH477641.1	649878	744682
AAGE02018063.1	chr2	65.871	CH477642.1	180799	385787
AAGE02018066.1	chr2	65.871	CH477642.1	449583	801457
AAGE02018069.1	chr2	65.871	CH477642.1	835577	862844
AAGE02018136.1	chr3	8.823	CH477645.1	458319	504285
AAGE02018167.1	chr1	0	CH477646.1	278214	322866
AAGE02018210.1	chr2	49.629	CH477647.1	607834	722446
AAGE02018237.1	chr3	33.231	CH477648.1	799872	905488
AAGE02018259.1	chr1	45.369	CH477650.1	37192	105683
AAGE02018277.1	chr3	40.78	CH477650.1	574402	770079
AAGE02018291.1	chr2	58.962	CH477651.1	154181	231391
AAGE02018298.1	chr2	58.962	CH477651.1	574533	634435
AAGE02018327.1	chr2	55.421	CH477653.1	1	57266
AAGE02018335.1	chr2	55.421	CH477653.1	180764	253831
AAGE02018336.1	chr2	55.421	CH477653.1	253932	323671
AAGE02018346.1	chr2	55.421	CH477653.1	519861	577149
AAGE02018349.1	chr2	55.421	CH477653.1	592692	617653
AAGE02018408.1	chr2	11.517	CH477656.1	323751	475817
AAGE02018416.1	chr2	11.517	CH477656.1	700585	747997
AAGE02018421.1	chr2	11.517	CH477656.1	867413	876430
AAGE02018422.1	chr2	11.517	CH477656.1	877578	920497
AAGE02018439.1	chr3	60.87	CH477658.1	200625	455158
AAGE02018446.1	chr3	60.87	CH477658.1	782337	871049
AAGE02018447.1	chr3	60.87	CH477658.1	875866	905706
AAGE02018454.1	chr2	49.629	CH477659.1	186465	204958
AAGE02018456.1	chr2	49.629	CH477659.1	210060	255627
AAGE02018458.1	chr2	49.629	CH477659.1	307863	367036
AAGE02018465.1	chr2	49.629	CH477659.1	494391	573641
AAGE02018469.1	chr2	49.629	CH477659.1	662104	702911
AAGE02018502.1	chr1	45.369	CH477661.1	249860	328494
AAGE02018505.1	chr1	45.369	CH477661.1	376526	613529
AAGE02018517.1	chr3	28.979	CH477662.1	73464	150396
AAGE02018521.1	chr3	28.979	CH477662.1	272519	292101
AAGE02018524.1	chr3	28.979	CH477662.1	363040	647860
AAGE02018546.1	chr3	55.101	CH477663.1	300030	338375
AAGE02018552.1	chr3	55.101	CH477663.1	487155	514511
AAGE02018553.1	chr3	55.101	CH477663.1	514612	565492
AAGE02018563.1	chr3	55.101	CH477663.1	783085	801063
AAGE02018570.1	chr1	21.535	CH477664.1	139866	223106
AAGE02018571.1	chr1	21.535	CH477664.1	223207	318349
AAGE02018575.1	chr1	21.535	CH477664.1	440524	478534
AAGE02018576.1	chr1	21.535	CH477664.1	478635	606996
AAGE02018579.1	chr1	21.535	CH477664.1	622762	660388
AAGE02018580.1	chr1	21.535	CH477664.1	660489	680585
AAGE02018582.1	chr1	21.535	CH477664.1	694671	872914
AAGE02018607.1	chr1	45.369	CH477665.1	815915	904131
AAGE02018624.1	chr2	46.756	CH477667.1	11237	123188
AAGE02018630.1	chr2	46.756	CH477667.1	160194	272102
AAGE02018714.1	chr2	8.657	CH477669.1	12815	79431
AAGE02018721.1	chr2	8.657	CH477669.1	187320	287868
AAGE02018722.1	chr2	8.657	CH477669.1	288630	459239
AAGE02018783.1	chr2	85.257	CH477671.1	1	99466
AAGE02018784.1	chr2	85.257	CH477671.1	99567	237167
AAGE02018787.1	chr2	85.257	CH477671.1	360640	398340
AAGE02018815.1	chr1	0	CH477672.1	242862	401100
AAGE02018816.1	chr1	0	CH477672.1	401201	496237
AAGE02018817.1	chr1	0	CH477672.1	496338	626836
AAGE02018891.1	chr3	43.641	CH477675.1	102655	174408
AAGE02018932.1	chr2	52.532	CH477677.1	1	93968
AAGE02018943.1	chr3	33.231	CH477677.1	685036	751003
AAGE02019000.1	chr3	33.231	CH477679.1	782311	867466
AAGE02019011.1	chr2	49.629	CH477680.1	179146	356388
AAGE02019013.1	chr2	49.629	CH477680.1	377662	459238
AAGE02019022.1	chr2	49.629	CH477680.1	732878	785635
AAGE02019029.1	chr2	73.499	CH477681.1	1	139816
AAGE02019031.1	chr2	73.499	CH477681.1	166245	348354
AAGE02019033.1	chr2	73.499	CH477681.1	397173	508908
AAGE02019034.1	chr2	73.499	CH477681.1	509009	845170
AAGE02019035.1	chr2	73.499	CH477681.1	845271	862150
AAGE02019040.1	chr2	49.629	CH477682.1	50058	88129
AAGE02019042.1	chr2	49.629	CH477682.1	133328	169541
AAGE02019052.1	chr2	49.629	CH477682.1	304573	400465
AAGE02019053.1	chr2	49.629	CH477682.1	400566	437021
AAGE02019167.1	chr1	24.396	CH477686.1	133718	201962
AAGE02019168.1	chr1	24.396	CH477686.1	202063	378099
AAGE02019173.1	chr1	24.396	CH477686.1	491312	531139
AAGE02019174.1	chr1	24.396	CH477686.1	531249	721767
AAGE02019177.1	chr1	24.396	CH477686.1	758639	787630
AAGE02019187.1	chr3	33.231	CH477687.1	91809	197169
AAGE02019188.1	chr3	33.231	CH477687.1	197270	334514
AAGE02019193.1	chr3	33.231	CH477687.1	568822	663425
AAGE02019197.1	chr3	33.231	CH477687.1	749184	863552
AAGE02019216.1	chr2	55.421	CH477688.1	579019	737027
AAGE02019218.1	chr2	55.421	CH477688.1	775987	812358
AAGE02019286.1	chr2	58.962	CH477690.1	352155	364928
AAGE02019287.1	chr2	58.962	CH477690.1	365029	385756
AAGE02019309.1	chr2	58.962	CH477690.1	762949	861927
AAGE02019323.1	chr3	43.641	CH477691.1	184622	261228
AAGE02019333.1	chr3	43.641	CH477691.1	633607	821288
AAGE02019338.1	chr2	55.421	CH477692.1	1	135735
AAGE02019339.1	chr2	55.421	CH477692.1	135928	207713
AAGE02019340.1	chr2	55.421	CH477692.1	207814	339613
AAGE02019341.1	chr2	55.421	CH477692.1	339846	449421
AAGE02019343.1	chr2	55.421	CH477692.1	451937	629844
AAGE02019344.1	chr2	55.421	CH477692.1	629945	739665
AAGE02019345.1	chr2	55.421	CH477692.1	739766	813888
AAGE02019353.1	chr1	21.535	CH477693.1	314971	438792
AAGE02019357.1	chr1	21.535	CH477693.1	451739	476343
AAGE02019359.1	chr1	21.535	CH477693.1	479431	693495
AAGE02019361.1	chr1	21.535	CH477693.1	706682	710461
AAGE02019362.1	chr1	21.535	CH477693.1	711164	767768
AAGE02019363.1	chr1	21.535	CH477693.1	767869	804557
AAGE02019382.1	chr3	20.398	CH477695.1	1	47149
AAGE02019383.1	chr3	20.398	CH477695.1	47250	164771
AAGE02019386.1	chr3	20.398	CH477695.1	182182	258984
AAGE02019388.1	chr3	20.398	CH477695.1	262728	346235
AAGE02019390.1	chr3	20.398	CH477695.1	362639	458846
AAGE02019394.1	chr3	20.398	CH477695.1	556707	656199
AAGE02019413.1	chr2	49.629	CH477696.1	251707	342415
AAGE02019414.1	chr2	49.629	CH477696.1	342516	406333
AAGE02019425.1	chr2	49.629	CH477696.1	699818	722240
AAGE02019427.1	chr2	49.629	CH477696.1	728376	843318
AAGE02019445.1	chr1	0	CH477697.1	671262	857469
AAGE02019507.1	chr2	55.421	CH477700.1	387442	497153
AAGE02019512.1	chr2	49.629	CH477700.1	543438	843043
AAGE02019531.1	chr2	46.756	CH477702.1	44098	151603
AAGE02019542.1	chr2	46.756	CH477702.1	608944	806632
AAGE02019544.1	chr2	46.756	CH477702.1	812882	839867
AAGE02019560.1	chr3	60.87	CH477704.1	156975	347195
AAGE02019563.1	chr3	60.87	CH477704.1	413456	443417
AAGE02019569.1	chr3	60.87	CH477704.1	773175	785597
AAGE02019570.1	chr3	60.87	CH477704.1	785698	805931
AAGE02019571.1	chr3	60.87	CH477704.1	806179	816307
AAGE02019594.1	chr1	24.396	CH477706.1	451108	642158
AAGE02019628.1	chr3	40.78	CH477707.1	832471	841628
AAGE02019638.1	chr1	21.535	CH477708.1	102931	165347
AAGE02019643.1	chr1	21.535	CH477708.1	306693	431292
AAGE02019657.1	chr3	33.231	CH477709.1	84270	264665
AAGE02019659.1	chr3	33.231	CH477709.1	336814	494446
AAGE02019661.1	chr3	33.231	CH477709.1	503385	728790
AAGE02019662.1	chr3	33.231	CH477709.1	728891	814102
AAGE02019694.1	chr3	23.259	CH477711.1	1	219649
AAGE02019708.1	chr2	49.629	CH477712.1	382257	665561
AAGE02019713.1	chr3	17.538	CH477713.1	27505	170252
AAGE02019714.1	chr3	17.538	CH477713.1	171823	309815
AAGE02019715.1	chr3	17.538	CH477713.1	309916	387216
AAGE02019717.1	chr3	17.538	CH477713.1	403757	512188
AAGE02019718.1	chr3	17.538	CH477713.1	520203	617003
AAGE02019735.1	chr2	49.629	CH477715.1	38047	69003
AAGE02019741.1	chr2	49.629	CH477715.1	281451	370170
AAGE02019742.1	chr2	49.629	CH477715.1	370271	554908
AAGE02019764.1	chr3	33.231	CH477716.1	549411	582416
AAGE02019793.1	chr3	40.78	CH477717.1	274733	433731
AAGE02019795.1	chr3	40.78	CH477717.1	453387	614362
AAGE02019802.1	chr3	40.78	CH477717.1	799027	822202
AAGE02019950.1	chr2	52.532	CH477722.1	622500	773592
AAGE02019959.1	chr3	43.641	CH477723.1	89280	168076
AAGE02019979.1	chr3	43.641	CH477723.1	575441	584906
AAGE02019983.1	chr3	43.641	CH477723.1	607927	646294
AAGE02019984.1	chr3	43.641	CH477723.1	646395	682431
AAGE02019997.1	chr2	52.532	CH477724.1	16719	30195
AAGE02020000.1	chr2	52.532	CH477724.1	108512	128135
AAGE02020003.1	chr2	52.532	CH477724.1	247824	288762
AAGE02020004.1	chr2	52.532	CH477724.1	289008	317470
AAGE02020005.1	chr2	52.532	CH477724.1	317930	341244
AAGE02020006.1	chr2	52.532	CH477724.1	341345	500253
AAGE02020038.1	chr2	52.532	CH477726.1	126765	334060
AAGE02020044.1	chr2	52.532	CH477726.1	457190	566288
AAGE02020045.1	chr2	52.532	CH477726.1	566389	604639
AAGE02020046.1	chr2	52.532	CH477726.1	605199	623899
AAGE02020047.1	chr2	52.532	CH477726.1	624050	698459
AAGE02020048.1	chr2	52.532	CH477726.1	698560	819817
AAGE02020049.1	chr3	8.823	CH477727.1	1	218585
AAGE02020052.1	chr3	8.823	CH477727.1	315706	425228
AAGE02020053.1	chr3	8.823	CH477727.1	426448	507065
AAGE02020054.1	chr3	8.823	CH477727.1	507166	789223
AAGE02020120.1	chr3	33.231	CH477730.1	500140	600075
AAGE02020122.1	chr3	33.231	CH477730.1	608028	658100
AAGE02020124.1	chr3	33.231	CH477730.1	706356	780648
AAGE02020174.1	chr2	52.532	CH477732.1	466069	699266
AAGE02020176.1	chr2	52.532	CH477732.1	732808	796800
AAGE02020206.1	chr3	28.979	CH477734.1	22730	49260
AAGE02020213.1	chr3	28.979	CH477734.1	340707	644451
AAGE02020219.1	chr2	55.421	CH477735.1	36907	96978
AAGE02020249.1	chr3	20.398	CH477735.1	719019	859413
AAGE02020250.1	chr3	20.398	CH477735.1	859514	901794
AAGE02020252.1	chr3	20.398	CH477735.1	905021	982118
AAGE02020272.1	chr3	60.87	CH477737.1	148632	469982
AAGE02020286.1	chr2	49.629	CH477738.1	10870	30889
AAGE02020288.1	chr2	49.629	CH477738.1	43363	58609
AAGE02020304.1	chr2	49.629	CH477738.1	488407	560253
AAGE02020377.1	chr3	33.231	CH477743.1	225638	363208
AAGE02020394.1	chr2	49.629	CH477744.1	325637	336094
AAGE02020407.1	chr2	49.629	CH477744.1	658819	715325
AAGE02020447.1	chr2	52.532	CH477747.1	679955	697711
AAGE02020509.1	chr3	33.231	CH477750.1	25601	178807
AAGE02020547.1	chr2	52.532	CH477752.1	1	80800
AAGE02020551.1	chr3	40.78	CH477752.1	164624	243816
AAGE02020555.1	chr3	40.78	CH477752.1	432728	493999
AAGE02020559.1	chr1	21.535	CH477752.1	652999	727841
AAGE02020672.1	chr2	52.532	CH477758.1	182723	307866
AAGE02020677.1	chr2	52.532	CH477758.1	461725	539564
AAGE02020719.1	chr3	33.231	CH477760.1	193743	424534
AAGE02020739.1	chr1	12.537	CH477761.1	41514	136124
AAGE02020740.1	chr1	12.537	CH477761.1	138682	257541
AAGE02020747.1	chr1	12.537	CH477761.1	354819	554308
AAGE02020748.1	chr1	12.537	CH477761.1	554409	583902
AAGE02020779.1	chr2	58.962	CH477763.1	670959	726791
AAGE02020790.1	chr3	57.985	CH477764.1	262451	334985
AAGE02020791.1	chr3	57.985	CH477764.1	335906	387808
AAGE02020793.1	chr3	57.985	CH477764.1	413332	559534
AAGE02020817.1	chr2	15.163	CH477766.1	37967	150955
AAGE02020818.1	chr2	15.163	CH477766.1	151125	279444
AAGE02020819.1	chr2	15.163	CH477766.1	279583	313438
AAGE02020821.1	chr2	15.163	CH477766.1	373331	423608
AAGE02020822.1	chr2	15.163	CH477766.1	423709	483725
AAGE02020868.1	chr3	33.231	CH477768.1	210973	289920
AAGE02020871.1	chr3	33.231	CH477768.1	381481	586269
AAGE02020891.1	chr2	0	CH477769.1	246157	331659
AAGE02020914.1	chr2	43.896	CH477770.1	144824	205982
AAGE02020916.1	chr2	43.896	CH477770.1	284486	355699
AAGE02020983.1	chr2	46.756	CH477773.1	117832	238711
AAGE02020985.1	chr2	46.756	CH477773.1	265160	497313
AAGE02020986.1	chr2	46.756	CH477773.1	497871	581547
AAGE02021041.1	chr3	33.231	CH477776.1	632566	692154
AAGE02021043.1	chr3	33.231	CH477776.1	711813	719298
AAGE02021062.1	chr3	33.231	CH477778.1	96890	434409
AAGE02021064.1	chr3	33.231	CH477778.1	461985	483615
AAGE02021065.1	chr3	33.231	CH477778.1	483716	648331
AAGE02021070.1	chr2	49.629	CH477779.1	18232	64180
AAGE02021147.1	chr3	60.87	CH477783.1	1	144319
AAGE02021150.1	chr3	60.87	CH477783.1	173221	206486
AAGE02021151.1	chr3	60.87	CH477783.1	206587	695964
AAGE02021181.1	chr2	52.532	CH477785.1	237509	439257
AAGE02021189.1	chr2	52.532	CH477785.1	722660	739105
AAGE02021324.1	chr2	46.756	CH477789.1	456405	526059
AAGE02021412.1	chr3	43.641	CH477792.1	224130	235384
AAGE02021422.1	chr1	21.535	CH477793.1	54755	186850
AAGE02021423.1	chr1	21.535	CH477793.1	186951	345715
AAGE02021424.1	chr1	21.535	CH477793.1	346069	505478
AAGE02021432.1	chr2	70.322	CH477794.1	102937	168346
AAGE02021452.1	chr2	49.629	CH477795.1	38783	128211
AAGE02021610.1	chr3	33.231	CH477803.1	50222	481815
AAGE02021613.1	chr3	33.231	CH477803.1	536019	629033
AAGE02021623.1	chr1	21.535	CH477804.1	119489	224961
AAGE02021697.1	chr1	21.535	CH477807.1	412323	503131
AAGE02021700.1	chr1	21.535	CH477807.1	511030	679726
AAGE02021704.1	chr2	49.629	CH477808.1	90537	165452
AAGE02021707.1	chr2	49.629	CH477808.1	193550	300875
AAGE02021738.1	chr2	11.517	CH477809.1	513149	648048
AAGE02021739.1	chr2	11.517	CH477809.1	648149	730297
AAGE02021756.1	chr2	49.629	CH477810.1	451098	595537
AAGE02021762.1	chr2	65.871	CH477811.1	1	432546
AAGE02021763.1	chr2	65.871	CH477811.1	432647	491116
AAGE02021764.1	chr2	65.871	CH477811.1	491217	513097
AAGE02021765.1	chr2	65.871	CH477811.1	513198	657578
AAGE02021798.1	chr2	85.257	CH477813.1	38952	55188
AAGE02021800.1	chr2	85.257	CH477813.1	62099	158665
AAGE02021802.1	chr2	85.257	CH477813.1	178128	292885
AAGE02021803.1	chr2	85.257	CH477813.1	292986	404047
AAGE02021804.1	chr2	85.257	CH477813.1	404772	563041
AAGE02021805.1	chr2	85.257	CH477813.1	563142	590246
AAGE02021807.1	chr2	85.257	CH477813.1	593183	655292
AAGE02021894.1	chr1	45.369	CH477817.1	292700	471596
AAGE02021944.1	chr2	49.629	CH477820.1	38016	99952
AAGE02021957.1	chr3	33.231	CH477821.1	224726	336985
AAGE02021960.1	chr3	33.231	CH477821.1	385027	520188
AAGE02021965.1	chr3	33.231	CH477821.1	590504	646533
AAGE02021973.1	chr2	52.532	CH477822.1	103898	122173
AAGE02021974.1	chr2	52.532	CH477822.1	122426	183655
AAGE02021981.1	chr2	52.532	CH477822.1	336805	518299
AAGE02021982.1	chr2	52.532	CH477822.1	518400	546117
AAGE02021995.1	chr3	14.678	CH477823.1	608620	697426
AAGE02022016.1	chr2	52.532	CH477825.1	1	234007
AAGE02022154.1	chr1	21.535	CH477832.1	417372	473087
AAGE02022193.1	chr3	33.231	CH477834.1	54051	161476
AAGE02022197.1	chr2	73.499	CH477834.1	209703	370242
AAGE02022199.1	chr2	73.499	CH477834.1	437240	497084
AAGE02022203.1	chr1	45.369	CH477835.1	27033	109186
AAGE02022205.1	chr1	45.369	CH477835.1	188891	339902
